Dataset,Classifier,ACC,TPR,F1,Time to execute
0,Nearest Neighbors (KNN),0.522585046,1,0.686439375,21.68799996
0,Hoeffding Tree,0.552307179,1,0.71137698,162.8205035
0,Random Forest,0.563446841,1,0.72075968,2356.68085
0,Naive Bayes,0.52242651,1,0.686303188,80.76441765
0,Nearest Neighbors (KNN),0.522585046,1,0.686439375,20.97057652
0,Hoeffding Tree,0.552307179,1,0.71137698,157.6380739
0,Random Forest,0.561158036,1,0.718884101,2303.367464
0,Naive Bayes,0.52242651,1,0.686303188,81.72483683
0,Nearest Neighbors (KNN),0.522585046,1,0.686439375,21.58404136
0,Hoeffding Tree,0.552307179,1,0.71137698,158.9403732
0,Random Forest,0.565705189,1,0.722613829,2302.815966
0,Naive Bayes,0.52242651,1,0.686303188,81.47508979
0,Nearest Neighbors (KNN),0.522585046,1,0.686439375,21.40404129
0,Hoeffding Tree,0.552307179,1,0.71137698,159.6151152
0,Random Forest,0.568515508,1,0.724898595,2285.508468
0,Naive Bayes,0.52242651,1,0.686303188,81.64512348
0,Nearest Neighbors (KNN),0.522585046,1,0.686439375,21.59414101
0,Hoeffding Tree,0.552307179,1,0.71137698,159.2089458
0,Random Forest,0.566677364,1,0.723412745,2298.992371
0,Naive Bayes,0.52242651,1,0.686303188,82.07312393
0,Nearest Neighbors (KNN),0.522585046,1,0.686439375,21.60744262
0,Hoeffding Tree,0.552307179,1,0.71137698,160.3022897
0,Random Forest,0.568664184,1,0.725015468,2295.53312
0,Naive Bayes,0.52242651,1,0.686303188,82.51186943
0,Nearest Neighbors (KNN),0.522585046,1,0.686439375,21.19049406
0,Hoeffding Tree,0.552307179,1,0.71137698,159.3849621
0,Random Forest,0.565926858,1,0.722795602,2301.2604
0,Naive Bayes,0.52242651,1,0.686303188,81.67443419
0,Nearest Neighbors (KNN),0.522585046,1,0.686439375,21.19839239
0,Hoeffding Tree,0.552307179,1,0.71137698,159.3191776
0,Random Forest,0.564690708,1,0.721733801,2301.961519
0,Naive Bayes,0.52242651,1,0.686303188,81.8077538
0,Nearest Neighbors (KNN),0.522585046,1,0.686439375,21.34675765
0,Hoeffding Tree,0.552307179,1,0.71137698,160.0801296
0,Random Forest,0.56905719,1,0.725338609,2238.607101
0,Naive Bayes,0.52242651,1,0.686303188,79.97196388
0,Nearest Neighbors (KNN),0.522585046,1,0.686439375,20.80486345
0,Hoeffding Tree,0.552307179,1,0.71137698,153.0226972
0,Random Forest,0.571872682,1,0.727629545,2237.880364
0,Naive Bayes,0.52242651,1,0.686303188,79.57924604
2,,,,,7.09432125
