Dataset,Classifier,ACC,TPR,F1,Time to execute
0,Nearest Neighbors (KNN),0.520943089,1,0.685021374,20.78042722
0,Hoeffding Tree,0.551516804,1,0.710743384,129.4140573
0,Random Forest,0.565474812,1,0.722422216,2171.120667
0,Naive Bayes,0.52074095,1,0.68484725,62.36566353
1,Nearest Neighbors (KNN),0.433004878,1,0.604305355,2.279814482
1,Hoeffding Tree,0.504304028,1,0.669731916,19.89789224
1,Random Forest,0.4639542,1,0.633759498,385.8753841
1,Naive Bayes,0.500529711,1,0.667114971,11.34076381
2,Nearest Neighbors (KNN),0.448305085,1,0.617612994,0.160569668
2,Hoeffding Tree,0.45826473,1,0.626889446,0.870666504
2,Random Forest,0.495757693,1,0.655806763,39.59243202
2,Naive Bayes,0.448305085,1,0.617612994,0.399931192
3,Nearest Neighbors (KNN),0.49,0.6,0.524137931,2.193120003
3,Hoeffding Tree,0.501053864,0.6,0.534266822,10.92010236
3,Random Forest,0.49,0.6,0.524137931,166.5805919
3,Naive Bayes,0.490302719,0.6,0.524425592,4.910869598
0,Nearest Neighbors (KNN),0.52094309,1,0.685021116,20.74288201
0,Hoeffding Tree,0.554130069,1,0.712912657,129.623596
0,Random Forest,0.564033846,1,0.721239553,2130.312655
0,Naive Bayes,0.478999776,1,0.647727933,62.42082667
1,Nearest Neighbors (KNN),0.433004878,1,0.604322341,2.249974012
1,Hoeffding Tree,0.482627612,1,0.649519253,19.74210453
1,Random Forest,0.457109701,1,0.627340446,351.5836825
1,Naive Bayes,0.500540486,1,0.66713721,11.25088
2,Nearest Neighbors (KNN),0.446862604,1,0.616689195,0.152592421
2,Hoeffding Tree,0.471862505,1,0.638793546,0.866687536
2,Random Forest,0.491436125,1,0.657353997,40.18577647
2,Naive Bayes,0.446862604,1,0.616689195,0.391929626
3,Nearest Neighbors (KNN),0.489795918,0.6,0.523943662,2.22930336
3,Hoeffding Tree,0.508964646,0.6,0.541070699,10.89390516
3,Random Forest,0.489795918,0.6,0.523943662,167.2710342
3,Naive Bayes,0.490097486,0.6,0.524230633,4.660128355
0,Nearest Neighbors (KNN),0.520951322,1,0.685027925,21.0703032
0,Hoeffding Tree,0.55912022,1,0.716988161,130.3091421
0,Random Forest,0.564588823,1,0.72169652,2104.371623
0,Naive Bayes,0.479069045,1,0.647791904,62.61259007
1,Nearest Neighbors (KNN),0.432900116,1,0.604211729,2.315808773
1,Hoeffding Tree,0.482423667,1,0.649218033,19.79564261
1,Random Forest,0.460570046,1,0.630433385,350.4238012
1,Naive Bayes,0.500425301,1,0.667030474,11.15408874
2,Nearest Neighbors (KNN),0.445957447,1,0.615273665,0.150606632
2,Hoeffding Tree,0.471177668,1,0.637460376,0.85571146
2,Random Forest,0.503203058,1,0.664022541,40.15327597
2,Naive Bayes,0.445957447,1,0.615273665,0.386965513
3,Nearest Neighbors (KNN),0.490056094,0.6,0.52419128,2.208780766
3,Hoeffding Tree,0.509343434,0.6,0.541387755,10.99605346
3,Random Forest,0.490056094,0.6,0.52419128,165.6272435
3,Naive Bayes,0.490415172,0.6,0.524532298,4.644580603
0,Nearest Neighbors (KNN),0.520959439,1,0.685035739,20.60641241
0,Hoeffding Tree,0.550005688,1,0.709461324,129.1791353
0,Random Forest,0.565028549,1,0.722059052,2117.070761
0,Naive Bayes,0.520812178,1,0.684909051,62.68813491
1,Nearest Neighbors (KNN),0.433109635,1,0.604416493,2.266926289
1,Hoeffding Tree,0.482467197,1,0.649317789,19.7827518
1,Random Forest,0.458519091,1,0.62844949,349.5773222
1,Naive Bayes,0.433109635,1,0.604416493,11.53360176
2,Nearest Neighbors (KNN),0.446462315,1,0.615934386,0.155585051
2,Hoeffding Tree,0.471461946,1,0.638025016,0.872667313
2,Random Forest,0.473108438,1,0.641447668,40.96377492
2,Naive Bayes,0.446462315,1,0.615934386,0.396939278
3,Nearest Neighbors (KNN),0.49,0.6,0.524137931,2.217555046
3,Hoeffding Tree,0.50100295,0.6,0.534221874,10.93175769
3,Random Forest,0.49,0.6,0.524137931,167.0598202
3,Naive Bayes,0.490302719,0.6,0.524425592,4.648566008
0,Nearest Neighbors (KNN),0.520943092,1,0.68502062,20.76866603
0,Hoeffding Tree,0.550901462,1,0.710225625,130.4921455
0,Random Forest,0.56835721,1,0.724770672,2152.663261
0,Naive Bayes,0.479039393,1,0.647764082,62.58662558
1,Nearest Neighbors (KNN),0.432900116,1,0.604222067,2.31082058
1,Hoeffding Tree,0.482288727,1,0.649179733,19.52080488
1,Random Forest,0.463493307,1,0.633277857,345.1920707
1,Naive Bayes,0.432900116,1,0.604222067,11.14320397
2,Nearest Neighbors (KNN),0.448305085,1,0.617901522,0.162565231
2,Hoeffding Tree,0.473176834,1,0.639969278,0.895604849
2,Random Forest,0.49658475,1,0.66239061,40.22813535
2,Naive Bayes,0.448305085,1,0.617901522,0.401925325
3,Nearest Neighbors (KNN),0.490056094,0.6,0.52419128,2.221061468
3,Hoeffding Tree,0.501111761,0.6,0.534317917,10.97732711
3,Random Forest,0.490056094,0.6,0.52419128,166.6024067
3,Naive Bayes,0.490358974,0.6,0.524478983,4.653556108
0,Nearest Neighbors (KNN),0.52096771,1,0.685042673,20.80193019
0,Hoeffding Tree,0.550119904,1,0.709552971,130.8867867
0,Random Forest,0.568331994,1,0.72472801,2136.689853
0,Naive Bayes,0.520716236,1,0.684825923,62.52541304
1,Nearest Neighbors (KNN),0.43305709,1,0.604365046,2.172332287
1,Hoeffding Tree,0.482485834,1,0.649330697,19.10638428
1,Random Forest,0.456441785,1,0.626639606,334.1614468
1,Naive Bayes,0.500586184,1,0.667173588,10.82238483
2,Nearest Neighbors (KNN),0.447789398,1,0.617439453,0.154586792
2,Hoeffding Tree,0.457889957,1,0.627007986,0.840892315
2,Random Forest,0.494127494,1,0.659714955,54.11254072
2,Naive Bayes,0.447789398,1,0.617439453,0.381507158
3,Nearest Neighbors (KNN),0.489795918,0.6,0.523943662,2.211009264
3,Hoeffding Tree,0.500882872,0.6,0.534115806,10.57272744
3,Random Forest,0.489795918,0.6,0.523943662,162.2777398
3,Naive Bayes,0.490097486,0.6,0.524230633,4.516884327
0,Nearest Neighbors (KNN),0.520951322,1,0.685027663,20.08745122
0,Hoeffding Tree,0.551621793,1,0.710833574,122.4440928
0,Random Forest,0.566783386,1,0.72346854,2013.543452
0,Naive Bayes,0.520740916,1,0.684846444,60.88074493
1,Nearest Neighbors (KNN),0.433004921,1,0.604312558,2.257682323
1,Hoeffding Tree,0.482440545,1,0.649291181,19.06495833
1,Random Forest,0.459023563,1,0.629089078,334.4642012
1,Naive Bayes,0.433004921,1,0.604312558,10.91911554
2,Nearest Neighbors (KNN),0.451108038,1,0.620657761,0.152946472
2,Hoeffding Tree,0.461343412,1,0.630230525,0.868976116
2,Random Forest,0.500507433,1,0.666697148,39.41925979
2,Naive Bayes,0.451108038,1,0.620657761,0.391779184
3,Nearest Neighbors (KNN),0.490056094,0.6,0.52419128,2.157841921
3,Hoeffding Tree,0.51024825,0.6,0.542141978,10.57066178
3,Random Forest,0.490056094,0.6,0.52419128,162.3429739
3,Naive Bayes,0.490358974,0.6,0.524478983,4.506948948
0,Nearest Neighbors (KNN),0.520943092,1,0.685021149,20.68202257
0,Hoeffding Tree,0.553343139,1,0.712265622,125.1311369
0,Random Forest,0.563285032,1,0.720625515,2001.334092
0,Naive Bayes,0.520732711,1,0.684839838,60.62582755
1,Nearest Neighbors (KNN),0.432952327,1,0.604263748,2.182166338
1,Hoeffding Tree,0.482350263,1,0.649195952,19.07535529
1,Random Forest,0.448176452,1,0.618916764,332.781986
1,Naive Bayes,0.432952327,1,0.604263748,10.91078973
2,Nearest Neighbors (KNN),0.448305085,1,0.617228045,0.151335239
2,Hoeffding Tree,0.448305085,1,0.617228045,0.814821482
2,Random Forest,0.498171963,1,0.663963211,38.02019882
2,Naive Bayes,0.448305085,1,0.617228045,0.385682583
3,Nearest Neighbors (KNN),0.490056094,0.6,0.52419128,2.189754725
3,Hoeffding Tree,0.501060071,0.6,0.5342723,10.65196466
3,Random Forest,0.490056094,0.6,0.52419128,161.4160428
3,Naive Bayes,0.490358974,0.6,0.524478983,4.519817829
0,Nearest Neighbors (KNN),0.520943095,1,0.685022652,20.41369581
0,Hoeffding Tree,0.557225793,1,0.715441357,122.8857629
0,Random Forest,0.564326506,1,0.721491733,2038.308344
0,Naive Bayes,0.479029137,1,0.647756945,60.77698493
1,Nearest Neighbors (KNN),0.43305709,1,0.604357519,2.237198591
1,Hoeffding Tree,0.482569031,1,0.649388621,19.15753818
1,Random Forest,0.453612832,1,0.623911218,336.6473844
1,Naive Bayes,0.500581153,1,0.667163047,10.91619825
2,Nearest Neighbors (KNN),0.446851785,1,0.61613791,0.153465033
2,Hoeffding Tree,0.47169534,1,0.63788317,0.840378284
2,Random Forest,0.512372858,1,0.673378322,38.38021636
2,Naive Bayes,0.446851785,1,0.61613791,0.386047363
3,Nearest Neighbors (KNN),0.49,0.6,0.524137931,2.187277079
3,Hoeffding Tree,0.501602374,0.6,0.534750098,10.6206212
3,Random Forest,0.49,0.6,0.524137931,162.0493622
3,Naive Bayes,0.490302719,0.6,0.524425592,4.538024902
0,Nearest Neighbors (KNN),0.520943092,1,0.685021534,20.32764244
0,Hoeffding Tree,0.551824201,1,0.71098112,123.0402162
0,Random Forest,0.565019571,1,0.722054081,2034.973966
0,Naive Bayes,0.520741691,1,0.684847967,60.94567466
1,Nearest Neighbors (KNN),0.432848413,1,0.604160961,2.226348162
1,Hoeffding Tree,0.48210161,1,0.649045221,19.10924911
1,Random Forest,0.46096682,1,0.630953502,335.0079012
1,Naive Bayes,0.432848413,1,0.604160961,10.99881864
2,Nearest Neighbors (KNN),0.448780662,1,0.618559115,0.149611235
2,Hoeffding Tree,0.459112187,1,0.628194373,0.817026615
2,Random Forest,0.486302084,1,0.652327849,38.1841042
