Dataset,Classifier,ACC,TPR,F1,Time to execute
0,Nearest Neighbors (KNN),0.44305744,1,0.614038823,2.422522068
0,Hoeffding Tree,0.498369752,1,0.663985485,22.70071769
0,Random Forest,0.460689493,1,0.630751944,324.7946405
0,Naive Bayes,0.44305744,1,0.614038823,13.45802021
1,Nearest Neighbors (KNN),0.518794588,1,0.682225431,0.199466944
1,Hoeffding Tree,0.528917992,1,0.69099381,1.168875456
1,Random Forest,0.532146525,1,0.693345285,38.85807896
1,Naive Bayes,0.518794588,1,0.682225431,0.535569429
2,Nearest Neighbors (KNN),0.5,0.6,0.533333333,2.371658087
2,Hoeffding Tree,0.504697987,0.6,0.537444934,13.7362628
2,Random Forest,0.5,0.6,0.533333333,144.6090426
2,Naive Bayes,0.500301508,0.6,0.533601071,6.048815966
0,Nearest Neighbors (KNN),0.44305744,1,0.614038823,2.39260149
0,Hoeffding Tree,0.498369752,1,0.663985485,23.07827735
0,Random Forest,0.460680052,1,0.630718286,309.9352369
0,Naive Bayes,0.44305744,1,0.614038823,13.37622452
1,Nearest Neighbors (KNN),0.518794588,1,0.682225431,0.218416214
1,Hoeffding Tree,0.528917992,1,0.69099381,1.186825275
1,Random Forest,0.558895439,1,0.715640751,40.17155957
1,Naive Bayes,0.518794588,1,0.682225431,0.521605492
2,Nearest Neighbors (KNN),0.5,0.6,0.533333333,2.36167264
2,Hoeffding Tree,0.504697987,0.6,0.537444934,14.12821531
2,Random Forest,0.5,0.6,0.533333333,152.7724254
2,Naive Bayes,0.500301508,0.6,0.533601071,6.212385416
0,Nearest Neighbors (KNN),0.44305744,1,0.614038823,2.455433607
0,Hoeffding Tree,0.498369752,1,0.663985485,23.23087025
0,Random Forest,0.464909595,1,0.634660161,318.1259236
0,Naive Bayes,0.44305744,1,0.614038823,13.21816278
1,Nearest Neighbors (KNN),0.518794588,1,0.682225431,0.192501783
1,Hoeffding Tree,0.528917992,1,0.69099381,1.136939049
1,Random Forest,0.539245874,1,0.699683092,41.2696321
1,Naive Bayes,0.518794588,1,0.682225431,0.509637356
2,Nearest Neighbors (KNN),0.5,0.6,0.533333333,2.338746071
2,Hoeffding Tree,0.504697987,0.6,0.537444934,13.81006527
2,Random Forest,0.5,0.6,0.533333333,148.3971381
2,Naive Bayes,0.500301508,0.6,0.533601071,6.175472736
0,Nearest Neighbors (KNN),0.44305744,1,0.614038823,2.406563997
0,Hoeffding Tree,0.498369752,1,0.663985485,23.03040838
0,Random Forest,0.463981914,1,0.633765805,310.7093608
0,Naive Bayes,0.44305744,1,0.614038823,13.09342456
1,Nearest Neighbors (KNN),0.518794588,1,0.682225431,0.193482161
1,Hoeffding Tree,0.528917992,1,0.69099381,1.120979548
1,Random Forest,0.522683917,1,0.685136927,40.81584573
1,Naive Bayes,0.518794588,1,0.682225431,0.508639812
2,Nearest Neighbors (KNN),0.5,0.6,0.533333333,2.294863939
2,Hoeffding Tree,0.504697987,0.6,0.537444934,13.49092031
2,Random Forest,0.5,0.6,0.533333333,145.2915363
