Dataset,Classifier,ACC,TPR,F1,Time to execute
0,Nearest Neighbors (KNN),0.941383989,0.92342311,0.932970762,4.560111523
0,Linear SVM,0.923292628,0.890975589,0.911414797,11.50482512
0,RBF SVM,0.859430122,0.810314565,0.836153387,66.78108311
0,Decision Tree,0.920578924,0.859744429,0.905478656,0.235370398
0,Random Forest,0.894075079,0.807250422,0.872476335,0.458921432
0,Naive Bayes,0.605517865,0.997959184,0.691573224,0.099733591
0,Gradient Boost,0.945002261,0.92506827,0.937093821,11.88689137
1,Nearest Neighbors (KNN),0.904674047,0.894579534,0.90684966,0.169546604
1,Linear SVM,0.865488588,0.878895643,0.871493717,0.246341944
1,RBF SVM,0.910578106,0.898885512,0.912586932,0.719077826
1,Decision Tree,0.909104824,0.91597771,0.912793023,0.03490591
1,Random Forest,0.892841328,0.910263425,0.896349887,0.199466944
1,Naive Bayes,0.869178625,0.884569402,0.875468428,0.023937225
1,Gradient Boost,0.920177668,0.920283688,0.9228882,1.207643509
2,Nearest Neighbors (KNN),0.8308,0.786,0.81857764,3.777998447
2,Linear SVM,0.9223,0.906,0.920701271,24.44599581
2,RBF SVM,0.529,0.999,0.679610748,136.5560744
2,Decision Tree,0.9574,0.9528,0.957469833,0.374996185
2,Random Forest,0.8721,0.9248,0.872774172,0.372004747
2,Naive Bayes,0.8429,0.9432,0.857485788,0.139627934
2,Gradient Boost,0.971,0.9708,0.970991392,20.90688562
0,Nearest Neighbors (KNN),0.941383989,0.92342311,0.932970762,4.29652071
0,Linear SVM,0.923292628,0.890975589,0.911414797,11.23396063
0,RBF SVM,0.859430122,0.810314565,0.836153387,62.68697548
0,Decision Tree,0.920578924,0.859744429,0.905478656,0.173536062
0,Random Forest,0.882677521,0.79906777,0.875735266,0.385968447
0,Naive Bayes,0.605517865,0.997959184,0.691573224,0.09474659
0,Gradient Boost,0.945002261,0.92506827,0.937093821,11.97968388
1,Nearest Neighbors (KNN),0.904674047,0.894579534,0.90684966,0.163556099
1,Linear SVM,0.865488588,0.878895643,0.871493717,0.203455687
1,RBF SVM,0.910578106,0.898885512,0.912586932,0.613371134
1,Decision Tree,0.909104824,0.91597771,0.912793023,0.023925304
1,Random Forest,0.886177395,0.914518744,0.893611982,0.174532652
1,Naive Bayes,0.869178625,0.884569402,0.875468428,0.025930405
1,Gradient Boost,0.920177668,0.920283688,0.9228882,1.16189456
2,Nearest Neighbors (KNN),0.8308,0.786,0.81857764,3.72843051
2,Linear SVM,0.9223,0.906,0.920701271,21.80979204
2,RBF SVM,0.529,0.999,0.679610748,135.1585562
2,Decision Tree,0.9578,0.953,0.957374438,0.389958382
2,Random Forest,0.897,0.8636,0.873225862,0.341087103
2,Naive Bayes,0.8429,0.9432,0.857485788,0.12566328
2,Gradient Boost,0.971,0.9708,0.970991392,21.11667919
0,Nearest Neighbors (KNN),0.941383989,0.92342311,0.932970762,4.304493666
0,Linear SVM,0.923292628,0.890975589,0.911414797,11.1711359
0,RBF SVM,0.859430122,0.810314565,0.836153387,62.07883859
0,Decision Tree,0.920578924,0.859744429,0.905478656,0.167550087
0,Random Forest,0.904115785,0.784594651,0.851999802,0.37300396
0,Naive Bayes,0.605517865,0.997959184,0.691573224,0.087765932
0,Gradient Boost,0.945002261,0.92506827,0.937093821,11.73363066
1,Nearest Neighbors (KNN),0.904674047,0.894579534,0.90684966,0.171541691
1,Linear SVM,0.865488588,0.878895643,0.871493717,0.238362312
1,RBF SVM,0.910578106,0.898885512,0.912586932,0.695141315
1,Decision Tree,0.909104824,0.91597771,0.912793023,0.02792573
1,Random Forest,0.878045647,0.897426545,0.887507765,0.179521561
1,Naive Bayes,0.869178625,0.884569402,0.875468428,0.026928663
1,Gradient Boost,0.920177668,0.920283688,0.9228882,1.241401911
2,Nearest Neighbors (KNN),0.8308,0.786,0.81857764,4.439683676
2,Linear SVM,0.9223,0.906,0.920701271,22.30600142
2,RBF SVM,0.529,0.999,0.679610748,135.6422443
2,Decision Tree,0.9573,0.9528,0.957088819,0.403586149
2,Random Forest,0.8823,0.8264,0.836241968,0.358043432
2,Naive Bayes,0.8429,0.9432,0.857485788,0.130650282
2,Gradient Boost,0.971,0.9708,0.970991392,21.46889091
0,Nearest Neighbors (KNN),0.941383989,0.92342311,0.932970762,4.733837605
0,Linear SVM,0.923292628,0.890975589,0.911414797,11.25369191
0,RBF SVM,0.859430122,0.810314565,0.836153387,64.37082553
0,Decision Tree,0.920578924,0.859744429,0.905478656,0.167551279
0,Random Forest,0.854635911,0.792565508,0.841821358,0.365023136
0,Naive Bayes,0.605517865,0.997959184,0.691573224,0.090766191
0,Gradient Boost,0.945002261,0.92506827,0.937093821,11.62289762
1,Nearest Neighbors (KNN),0.904674047,0.894579534,0.90684966,0.174533367
1,Linear SVM,0.865488588,0.878895643,0.871493717,0.195477962
1,RBF SVM,0.910578106,0.898885512,0.912586932,0.619344473
1,Decision Tree,0.909104824,0.91597771,0.912793023,0.025930882
1,Random Forest,0.889132158,0.884630193,0.890772764,0.190490961
1,Naive Bayes,0.869178625,0.884569402,0.875468428,0.024933338
1,Gradient Boost,0.920177668,0.920283688,0.9228882,1.171865463
2,Nearest Neighbors (KNN),0.8308,0.786,0.81857764,3.707187653
2,Linear SVM,0.9223,0.906,0.920701271,22.32045221
2,RBF SVM,0.529,0.999,0.679610748,136.4579058
2,Decision Tree,0.9573,0.9528,0.957098668,0.384972811
2,Random Forest,0.8687,0.8412,0.866562881,0.358041525
2,Naive Bayes,0.8429,0.9432,0.857485788,0.130650282
2,Gradient Boost,0.971,0.9708,0.970991392,21.292099
0,Nearest Neighbors (KNN),0.941383989,0.92342311,0.932970762,4.218756676
0,Linear SVM,0.923292628,0.890975589,0.911414797,11.38456416
0,RBF SVM,0.859430122,0.810314565,0.836153387,62.59638095
0,Decision Tree,0.920578924,0.859744429,0.905478656,0.173555851
0,Random Forest,0.890909091,0.749695441,0.845242736,0.388940096
0,Naive Bayes,0.605517865,0.997959184,0.691573224,0.08577013
0,Gradient Boost,0.945002261,0.92506827,0.937093821,11.69275355
1,Nearest Neighbors (KNN),0.904674047,0.894579534,0.90684966,0.17054534
1,Linear SVM,0.865488588,0.878895643,0.871493717,0.20445323
1,RBF SVM,0.910578106,0.898885512,0.912586932,0.822799683
1,Decision Tree,0.909104824,0.91597771,0.912793023,0.026927233
1,Random Forest,0.892095121,0.90029382,0.890348096,0.239371777
1,Naive Bayes,0.869178625,0.884569402,0.875468428,0.025919437
1,Gradient Boost,0.920177668,0.920283688,0.9228882,1.352384329
2,Nearest Neighbors (KNN),0.8308,0.786,0.81857764,4.043637753
2,Linear SVM,0.9223,0.906,0.920701271,22.24184132
2,RBF SVM,0.529,0.999,0.679610748,136.1174161
2,Decision Tree,0.9572,0.9526,0.957774471,0.426528215
2,Random Forest,0.8664,0.8996,0.905886473,0.355051041
2,Naive Bayes,0.8429,0.9432,0.857485788,0.121698856
2,Gradient Boost,0.971,0.9708,0.970991392,21.95250177
0,Nearest Neighbors (KNN),0.941383989,0.92342311,0.932970762,4.337515831
0,Linear SVM,0.923292628,0.890975589,0.911414797,11.65874791
0,RBF SVM,0.859430122,0.810314565,0.836153387,63.81600785
0,Decision Tree,0.920578924,0.859744429,0.905478656,0.170544147
0,Random Forest,0.895251018,0.802555294,0.869187475,0.361037016
0,Naive Bayes,0.605517865,0.997959184,0.691573224,0.110702038
0,Gradient Boost,0.945002261,0.92506827,0.937093821,11.558815
1,Nearest Neighbors (KNN),0.904674047,0.894579534,0.90684966,0.177528858
1,Linear SVM,0.865488588,0.878895643,0.871493717,0.215424299
1,RBF SVM,0.910578106,0.898885512,0.912586932,0.618345976
1,Decision Tree,0.909104824,0.91597771,0.912793023,0.026932955
1,Random Forest,0.889154025,0.905987842,0.889517846,0.185504198
1,Naive Bayes,0.869178625,0.884569402,0.875468428,0.021941423
1,Gradient Boost,0.920177668,0.920283688,0.9228882,1.173860788
2,Nearest Neighbors (KNN),0.8308,0.786,0.81857764,3.744988918
2,Linear SVM,0.9223,0.906,0.920701271,22.69327688
2,RBF SVM,0.529,0.999,0.679610748,135.3306928
2,Decision Tree,0.9578,0.953,0.957193686,0.38098073
2,Random Forest,0.8901,0.9064,0.895688358,0.36003828
2,Naive Bayes,0.8429,0.9432,0.857485788,0.128655672
2,Gradient Boost,0.971,0.9708,0.970991392,20.98290515
0,Nearest Neighbors (KNN),0.941383989,0.92342311,0.932970762,4.322202206
0,Linear SVM,0.923292628,0.890975589,0.911414797,11.34489369
0,RBF SVM,0.859430122,0.810314565,0.836153387,62.84783602
0,Decision Tree,0.920578924,0.859744429,0.905478656,0.163562059
0,Random Forest,0.882858435,0.797663171,0.860102871,0.362032652
0,Naive Bayes,0.605517865,0.997959184,0.691573224,0.097737551
0,Gradient Boost,0.945002261,0.92506827,0.937093821,12.01597619
1,Nearest Neighbors (KNN),0.904674047,0.894579534,0.90684966,0.20046401
1,Linear SVM,0.865488588,0.878895643,0.871493717,0.187499285
1,RBF SVM,0.910578106,0.898885512,0.912586932,0.63330698
1,Decision Tree,0.909104824,0.91597771,0.912793023,0.024959803
1,Random Forest,0.878800055,0.911681864,0.877935347,0.183483124
1,Naive Bayes,0.869178625,0.884569402,0.875468428,0.0219419
1,Gradient Boost,0.920177668,0.920283688,0.9228882,1.141973019
2,Nearest Neighbors (KNN),0.8308,0.786,0.81857764,3.665857553
2,Linear SVM,0.9223,0.906,0.920701271,22.17627931
2,RBF SVM,0.529,0.999,0.679610748,135.8138916
2,Decision Tree,0.9578,0.9528,0.957574114,0.365029812
2,Random Forest,0.8745,0.8592,0.881348555,0.362025023
2,Naive Bayes,0.8429,0.9432,0.857485788,0.122673273
2,Gradient Boost,0.971,0.9708,0.970991392,21.58935022
0,Nearest Neighbors (KNN),0.941383989,0.92342311,0.932970762,4.281626701
0,Linear SVM,0.923292628,0.890975589,0.911414797,11.25993276
0,RBF SVM,0.859430122,0.810314565,0.836153387,62.37316227
0,Decision Tree,0.920578924,0.859744429,0.905478656,0.172538519
0,Random Forest,0.897241067,0.748855142,0.863285707,0.374000549
0,Naive Bayes,0.605517865,0.997959184,0.691573224,0.084773064
0,Gradient Boost,0.945002261,0.92506827,0.937093821,11.48529577
1,Nearest Neighbors (KNN),0.904674047,0.894579534,0.90684966,0.193974018
1,Linear SVM,0.865488588,0.878895643,0.871493717,0.196475029
1,RBF SVM,0.910578106,0.898885512,0.912586932,0.626345873
1,Decision Tree,0.909104824,0.91597771,0.912793023,0.026936531
1,Random Forest,0.882481891,0.900273556,0.900388664,0.206418753
1,Naive Bayes,0.869178625,0.884569402,0.875468428,0.021941423
1,Gradient Boost,0.920177668,0.920283688,0.9228882,1.143941641
2,Nearest Neighbors (KNN),0.8308,0.786,0.81857764,3.694428921
2,Linear SVM,0.9223,0.906,0.920701271,22.13736558
2,RBF SVM,0.529,0.999,0.679610748,135.5581157
2,Decision Tree,0.9573,0.9528,0.957297966,0.379977465
2,Random Forest,0.8583,0.8602,0.874194375,0.34707284
2,Naive Bayes,0.8429,0.9432,0.857485788,0.137632847
2,Gradient Boost,0.971,0.9708,0.970991392,21.0472157
0,Nearest Neighbors (KNN),0.941383989,0.92342311,0.932970762,4.247154236
