Dataset,Classifier,ACC,TPR,f1,Time to execute
0,Nearest Neighbors,0.9413839891451831,0.9234231097955015,0.9329707620525136,4.354728937149048
0,Linear SVM,0.9232926277702397,0.890975589418607,0.9114147969710753,10.782361268997192
0,RBF SVM,0.8594301221166892,0.8103145650497174,0.8361533870841941,58.23010802268982
0,Decision Tree,0.9205789235639982,0.8597444289258093,0.9054786558950445,0.5884158611297607
0,Random Forest,0.8782451379466305,0.7782637426778678,0.8643696985986378,0.7659521102905273
0,Naive Bayes,0.6055178652193577,0.9979591836734695,0.691573224082017,0.4886927604675293
0,Gradient Boost,0.9450022614201717,0.9250682704133748,0.9370938207774163,10.982618808746338
1,Nearest Neighbors,0.9046631132977996,0.893161094224924,0.9068180023699182,0.1934833526611328
1,Linear SVM,0.8654885882192156,0.8788956433637285,0.8714937165609058,0.20644760131835938
1,RBF SVM,0.9105781057810578,0.898885511651469,0.9125869323438975,0.5924153327941895
1,Decision Tree,0.909104824381577,0.9159777102330293,0.9127930229188019,0.05186176300048828
1,Random Forest,0.8854530545305452,0.8988753799392099,0.8929711558523193,0.20245933532714844
1,Naive Bayes,0.8691786251195845,0.8845694022289766,0.8754684280723071,0.04886579513549805
1,Gradient Boost,0.9201776684433511,0.9202836879432624,0.9228882000916132,1.1100099086761475
2,Nearest Neighbors,0.8308,0.786,0.8185776396950131,3.8345680236816406
2,Linear SVM,0.9222999999999999,0.9059999999999999,0.9207012706082962,19.978556394577026
2,RBF SVM,0.5290000000000001,0.999,0.6796107480970721,120.85602903366089
2,Decision Tree,0.9577,0.9528000000000001,0.9570980822905742,0.6482648849487305
2,Random Forest,0.8703,0.8399999999999999,0.849113825769767,0.6303138732910156
2,Naive Bayes,0.8429,0.9432,0.8574857877508844,0.42885279655456543
2,Gradient Boost,0.9710000000000001,0.9707999999999999,0.9709913924586371,19.68733525276184
0,Nearest Neighbors,0.9413839891451831,0.9234231097955015,0.9329707620525136,4.355342388153076
0,Linear SVM,0.9232926277702397,0.890975589418607,0.9114147969710753,10.639539003372192
0,RBF SVM,0.8594301221166892,0.8103145650497174,0.8361533870841941,56.61355257034302
0,Decision Tree,0.9205789235639982,0.8597444289258093,0.9054786558950445,0.5854337215423584
0,Random Forest,0.9014925373134327,0.8023557982948031,0.8526774708431505,0.7549803256988525
0,Naive Bayes,0.6055178652193577,0.9979591836734695,0.691573224082017,0.4867112636566162
0,Gradient Boost,0.9450022614201717,0.9250682704133748,0.9370938207774163,11.174094915390015
1,Nearest Neighbors,0.9046631132977996,0.893161094224924,0.9068180023699182,0.18949532508850098
1,Linear SVM,0.8654885882192156,0.8788956433637285,0.8714937165609058,0.20844268798828125
1,RBF SVM,0.9105781057810578,0.898885511651469,0.9125869323438975,0.5964043140411377
1,Decision Tree,0.909104824381577,0.9159777102330293,0.9127930229188019,0.05186200141906738
1,Random Forest,0.8817466174661746,0.9017021276595745,0.8941618419847248,0.20245838165283203
1,Naive Bayes,0.8691786251195845,0.8845694022289766,0.8754684280723071,0.04787135124206543
1,Gradient Boost,0.9201776684433511,0.9202836879432624,0.9228882000916132,1.0980629920959473
2,Nearest Neighbors,0.8308,0.786,0.8185776396950131,3.728670120239258
2,Linear SVM,0.9222999999999999,0.9059999999999999,0.9207012706082962,20.04737162590027
2,RBF SVM,0.5290000000000001,0.999,0.6796107480970721,123.91557455062866
2,Decision Tree,0.9574,0.9528000000000001,0.9571936856258875,0.6492621898651123
2,Random Forest,0.866,0.8694000000000001,0.8302105404256264,0.6243298053741455
2,Naive Bayes,0.8429,0.9432,0.8574857877508844,0.42685961723327637
2,Gradient Boost,0.9710000000000001,0.9707999999999999,0.9709913924586371,19.853907823562622
0,Nearest Neighbors,0.9413839891451831,0.9234231097955015,0.9329707620525136,4.389260292053223
0,Linear SVM,0.9232926277702397,0.890975589418607,0.9114147969710753,10.844862699508667
0,RBF SVM,0.8594301221166892,0.8103145650497174,0.8361533870841941,57.63986563682556
0,Decision Tree,0.9205789235639982,0.8597444289258093,0.9054786558950445,0.5962779521942139
0,Random Forest,0.8835820895522388,0.786844551916783,0.8304195495983191,0.7776987552642822
0,Naive Bayes,0.6055178652193577,0.9979591836734695,0.691573224082017,0.5045218467712402
0,Gradient Boost,0.9450022614201717,0.9250682704133748,0.9370938207774163,11.048643827438354
1,Nearest Neighbors,0.9046631132977996,0.893161094224924,0.9068180023699182,0.17847728729248047
1,Linear SVM,0.8654885882192156,0.8788956433637285,0.8714937165609058,0.20739197731018066
1,RBF SVM,0.9105781057810578,0.898885511651469,0.9125869323438975,0.613203763961792
1,Decision Tree,0.909104824381577,0.9159777102330293,0.9127930229188019,0.051848411560058594
1,Random Forest,0.8898728987289871,0.9188449848024316,0.8872267956987285,0.1964249610900879
1,Naive Bayes,0.8691786251195845,0.8845694022289766,0.8754684280723071,0.04985451698303223
1,Gradient Boost,0.9201776684433511,0.9202836879432624,0.9228882000916132,1.093796730041504
2,Nearest Neighbors,0.8308,0.786,0.8185776396950131,3.7397074699401855
2,Linear SVM,0.9222999999999999,0.9059999999999999,0.9207012706082962,20.097143173217773
2,RBF SVM,0.5290000000000001,0.999,0.6796107480970721,122.33084964752197
2,Decision Tree,0.9577,0.9528000000000001,0.9572029490094902,0.659069299697876
2,Random Forest,0.861,0.8472,0.8795083186836783,0.6281604766845703
2,Naive Bayes,0.8429,0.9432,0.8574857877508844,0.4397122859954834
2,Gradient Boost,0.9710000000000001,0.9707999999999999,0.9709913924586371,20.032559156417847
0,Nearest Neighbors,0.9413839891451831,0.9234231097955015,0.9329707620525136,4.394052982330322
0,Linear SVM,0.9232926277702397,0.890975589418607,0.9114147969710753,10.72555136680603
0,RBF SVM,0.8594301221166892,0.8103145650497174,0.8361533870841941,57.02007794380188
0,Decision Tree,0.9205789235639982,0.8597444289258093,0.9054786558950445,0.5932619571685791
0,Random Forest,0.8675712347354139,0.8144034937774904,0.8884447245064511,0.756784200668335
0,Naive Bayes,0.6055178652193577,0.9979591836734695,0.691573224082017,0.4895660877227783
0,Gradient Boost,0.9450022614201717,0.9250682704133748,0.9370938207774163,10.941956043243408
1,Nearest Neighbors,0.9046631132977996,0.893161094224924,0.9068180023699182,0.18046212196350098
1,Linear SVM,0.8654885882192156,0.8788956433637285,0.8714937165609058,0.20639491081237793
1,RBF SVM,0.9105781057810578,0.898885511651469,0.9125869323438975,0.6002421379089355
1,Decision Tree,0.909104824381577,0.9159777102330293,0.9127930229188019,0.05384230613708496
1,Random Forest,0.8876588765887659,0.9031610942249241,0.8858094613749404,0.20041275024414062
1,Naive Bayes,0.8691786251195845,0.8845694022289766,0.8754684280723071,0.04786086082458496
1,Gradient Boost,0.9201776684433511,0.9202836879432624,0.9228882000916132,1.0988149642944336
2,Nearest Neighbors,0.8308,0.786,0.8185776396950131,3.752284049987793
2,Linear SVM,0.9222999999999999,0.9059999999999999,0.9207012706082962,19.945586919784546
2,RBF SVM,0.5290000000000001,0.999,0.6796107480970721,122.52531671524048
2,Decision Tree,0.9578,0.9527999999999999,0.9570888189069713,0.6550807952880859
2,Random Forest,0.8562,0.8666,0.8888846130238024,0.6221778392791748
2,Naive Bayes,0.8429,0.9432,0.8574857877508844,0.42974233627319336
2,Gradient Boost,0.9710000000000001,0.9707999999999999,0.9709913924586371,19.982521295547485
